family,system,n,Accept,Reject,Clarify,Error
ALL,single_llm,300,254,39,7,0
ALL,multi_agent,300,73,160,66,1
ALL,single_llm_ltl,300,182,114,4,0
ALL,multi_agent_ltl,300,72,187,41,0
door,single_llm,60,52,8,0,0
door,multi_agent,60,26,23,11,0
door,single_llm_ltl,60,44,16,0,0
door,multi_agent_ltl,60,30,26,4,0
gate,single_llm,60,54,3,3,0
gate,multi_agent,60,7,43,9,1
gate,single_llm_ltl,60,26,33,1,0
gate,multi_agent_ltl,60,8,47,5,0
alarm,single_llm,60,50,10,0,0
alarm,multi_agent,60,17,41,2,0
alarm,single_llm_ltl,60,28,32,0,0
alarm,multi_agent_ltl,60,10,46,4,0
medicine,single_llm,60,44,15,1,0
medicine,multi_agent,60,14,25,21,0
medicine,single_llm_ltl,60,40,20,0,0
medicine,multi_agent_ltl,60,14,29,17,0
window,single_llm,60,54,3,3,0
window,multi_agent,60,9,28,23,0
window,single_llm_ltl,60,44,13,3,0
window,multi_agent_ltl,60,10,39,11,0
